id,order,motion:text,motion:name,motion:description
1,1.0,Da li treba “hrvatsko pitanje” rješavati zajedno sa rješavanjem pitanja “Sejdić i Finci”?,Hrvatsko pitanje,"Predstavnici sedam političkih partija koje su participirale u bh. vlasti tokom cijelog prošlog mandata pokušavali su bezuspješno u međusobnim pregovorima naći rješenje za ispunjavanje odluke Evropskog suda za ljudska prava u predmetu ""Sejdić-Finci"". Uklanjanje diskriminacije prema predstavnicima nekonstitutivnih naroda u Ustavu BiH preraslo je u međuvremenu, tokom pregovora, u rješavanje ""hrvatskog pitanja"" u BiH."
2,2.0,Da li treba ojačati Sud i Tužilaštvo BiH?,Sud i Tužilaštvo BiH,"U BiH je već nekoliko godina aktuelno pitanje reforme pravosudnog sistema, a tokom ovog mandata vođen je i ""strukturalni dijalog o reformi pravosudnog sistema"". Tokom dijaloga predlagano je i oduzimanje pojedinih nadležnosti Sudu i Tužilaštvu BiH i njihovom vraćanju na entitetske sudove i tužilaštva."
3,3.0,Da li jedinstveni matični broj treba da pokazuje u kom se entitetu rodila osoba?,Jedinstveni matični broj,"Prema novom Zakonu o JMBG koji je usvojen u PSBiH sredinom 2013. godine, JMBG će sadržavati i brojčanu oznaku bh. entiteta u kojem se osoba rodila, što nije bio slučaj sa starim načinom kreiranja JMB-a."
4,4.0,Da li treba uspostaviti treći entitet u BiH?,Treći entitet,"Nakon Izbora 2010. godine lider HDZ-a BiH, Dragan Čović je jasno poručio kako će djelovati u smjeru uspostave ""hrvatske federalne jedinice"", a podršku je dobio i od pojedinih političara iz RS-a."
5,5.0,Svaka teritorijalna reorganizacija BiH mora obuhvatati oba entiteta?,Teritorijalna reorganizacija,"Prilikom pregovora o Ustavnim promjenama u BiH u prvi plan je stavljeno pitanje o reorganizaciji FBiH. Pojedine političke partije u BiH predlagale su ukidanje kantona i novu teritorijalnu organizaciju BiH koja bi obuhvatila oba entiteta, sa jedne strane, dok su drugi smatrali da bi ova reorganizacija trebala obuhvatiti samo FBiH."
6,6.0,Da li Federacija BiH treba imati dvije izborne jedinice bazirane na etničkom principu kako bi konstitutivni narodi bili adekvatno zastupljeni?,Dvije izborne jedinice u FBiH,"Tokom pregovora o ustavnim promjenama u BiH, odnosno o reorganizaciji FBiH koje je stavljeno u prvi plan prilikom ovih pregovora, pojedine političke partije su nudile rješenja o uspostavi dvije izborne jedinice u FBiH od kojih bi svaka praktično bila bazirana na etničkom principu."
7,7.0,Da li Zakon o prebivalištu treba uvesti pojačane kontrole prebivališta?,Zakon o prebivalištu,"Zakon o prebivalištu BiH koji nije usvojen na državnom nivou predviđao je veću kontrolu prijavljenih osoba i njihove imovine. Nakon što ovaj Zakon nije usvojen na državnom nivou, NSRS je usvojila entitetski Zakon o prebivalištu u kojem su ostale odredbe o kontroli prijavljenih osoba. Zakon je ukinut Odlukom Ustavnog Suda BiH, a Vlada RS je nakon toga usvojila Odluku o kontroli prebivališta u ovom entitetu."
8,8.0,Treba li ukinuti ustavnu odredbu koja onemogućava smanjenje plata poslanicima u toku mandata?,Plate poslanika,"Ustav BiH sadrži odredbu po kojoj nije moguće parlamentarcima smanjivati plate u toku trajanja mandata. Ova odredba je više puta razmatrana u Parlamentu BiH u cilju njenog mijenjanja, ali nije promijenjena i još uvijek je dio Ustava."
9,9.0,Treba li zdravstveno osiguranje pokrivati troškove umjetne oplodnje?,Umjetna oplodnja,"Zavod za zadravstveno osiguranje RS pokriva troškove dva pokušaja umjetne oplodnje za neplodne parove, dok u FBiH ne postoji takvo zakonsko rješenje iako je bilo pokušaja da se ono donese u proteklom mandatu."
10,10.0,Treba li zakonom zabraniti rad fašističkih organizacija i isticanje fašističkih simbola?,Rad fašističkih organizacija,"Zakon o zabrani fašističkih i neofašističkih organizacija i upotrebe njihovih simbola više puta je bio pred poslanicima u PSBiH, ali on nikada nije usvojen zbog nepostojanja većine."
11,11.0,"Da li podržavate izmjene Zakona o zaštiti i dobrobiti životinja, prema kojima bi životinje koje ne budu udomljene iz azila nakon 15 dana bile ubijene?",Zakon o zaštiti i dobrobiti životinja,"Tokom 2013. godine u PSBiH su, zbog aktuelne problematike sa povećanim brojem pasa lutalica na ulicama, bile predložene izmjene Zakona o zaštiti i dobrobiti životinja, prema kojima bi životinje koje provedu 15 dana u azilu, a ne budu udomljene, mogle biti eutanizirane."
12,12.0,"Pitanje vojne imovine treba riješiti što hitnije, kako bi BiH stekla uslove za ulazak u NATO?",Vojna imovina,"Pitanje podjele vojne imovine u BiH je ostala jedina prepreka ka bržem integrisanju BiH u NATO. Ovo pitanje razmatrano je i u PSBiH, ali i na međusobnim sastancima lidera vladajućih političkih partija tokom proteklog mandata. Osnovna prepreka usvajanju ovog zakona je bilo pitanje ""Da li perspektivnu imovinu treba knjižiti na entitete, a neperspektivnu na državu?""."
13,13.0,Da li se BiH treba dalje zaduživati za popunjavanje budžeta?,Vanjski javni dug BiH,"Tokom proteklog mandata sve Vlade u BiH su uslijed nedostatka novca u budžetu koristile stand by aranžman MMF-a kako bi ""zakrpili"" budžetski deficit i osigurale normalno funkcionisanje institucija. Sa druge strane, pojedine opozicione partije su tokom mandata ukazivale na ogromne dugove naše zemlje koje će otplaćivati ""buduće generacije""."
14,14.0,Da li mislite da su protesti u februaru 2014. bili usmjereni ka rušenju ustavnog poretka?,Protesti u februaru 2014.,"Nakon socijalnih nemira koji su se dogodili početkom februara 2014. godine, pojedini domaći zvaničnici i predstavnici političkih partija koje participiraju u vlasti, davali su izjave u kojima su isticali kako su ovi protesti bili usmjereni ka rušenju ustavno-pravnog poretka u BiH."
15,15.0,Da li stranke/partije trebaju ponovno kandidirati izabrane i postavljene zvaničnike/ce koji su odgovorni za loše funkcionisanje vlasti?,Lustracija političkih zvaničnika,"Neke političke partije već godinama, bez obzira na njihov učinak, na izborne liste stavljaju ljude koji su u prethodnim mandatima bili direktno izabrani u parlamente ili postavljeni na javne funkcije."
16,16.0,Da li BiH treba priznati Palestinu?,Status Palestine u UN,Bosna i Hercegovina nije podržala zahtjev Palestine pred UN-om jer tri člana Predsjedništva BiH nisu postigla potrebnu saglasnost o ovom pitanju.
17,17.0,Da li institucije kulture od značaja trebaju imati sigurno finansiranje iz budžeta BiH?,Finansiranje kulturnih institucija,"S obzirom da na nivou BiH ne postoji ministarstvo kulture, već dugi niz godina je upitno sigurno finansiranje sedam institucija kulture u našoj zemlji (Zemaljskog muzeja BiH, Historijskog muzeja BiH, Biblioteke za slijepe i slabovidne osobe BiH, Nacionalne i univerzitetske biblioteke BiH, Kinoteke BiH, Umjetničke galerije BiH i Akademije nauka i umjetnosti BiH), od kojih su neke zbog nedostatka sredstava zatvorile svoja vrata za posjetioce."
18,18.0,Da li energetski projekti trebaju biti prioritet u odnosu na zaštitu životne sredine?,Energetski projekti,Veliki energetski projekti poput izgradnje brana i termoelektrana će neminovno uticati na stanje životne sredine. Ovakvi objekti moraju imati Okolinske dozvole i studije uticaja na životnu sredinu.
19,19.0,"Da li treba privatizirati državne kompanije koje posluju s profitom, ako će to značiti smanjenje korupcije i onemogućavanje sticanja lične koristi pojedinaca?",Privatizacija državnih kompanija,"Postoje mišljenja da bi se privatizacijom javnih kompanija potencijalno smanjila mogućnost korupcije. Sa druge strane, trenutno javno dobro bi postalo privatno."
20,20.0,Da li vjeronauka treba da ulazi u prosjek ocjena?,Vjeronauka u školi,U svim kantonima u FBiH osim Tuzlanskog kantona ocjene iz vjeronauke ulaze u prosjek ocjena. Ocjene iz vjeronauke u svim školama u RS također ulaze u prosjek ocjena.
21,21.0,Da li treba napustiti praksu “dvije škole pod jednim krovom” u svim dijelovima BiH?,Dvije škole pod jednim krovom,"Nakon završetka rata u FBiH je uspostavljen sistem ""dvije škole pod jednim krovom"" koji podrazumijeva da djeca različitih nacionalnosti idu u istu školu, ali su podijeljeni po odjeljenjima i nastavnim planovima. Često je slučaj da djeca u ovakvim školama ulaze na odvojene ulaze u školu."
22,22.0,Da li ste za uvođenje javnog TV kanala na hrvatskom jeziku?,TV kanal na hrvatskom jeziku,"Pitanje uvođenja kanala na hrvatskom jeziku aktuelno je od samog početka djelovanja PBS-a BiH, a tokom proteklog mandata Vijeće ministara BiH je usvojilo Prijedlog zakona prema kojem je moguće osnivanje ovog kanala. Zakon nikada nije usvojen u PSBiH."
23,23.0,Da li podržavate izmjene zakona o radu po kojima kolektivni ugovor više ne bi radnicima garantovao sva prava koja im sada garantuje?,Zakon o radu,"Da bi bio nastavljen stand by aranžman sa MMF-om ova finansijska institucija je od domaćih entitetskih Vlada tražila usvajanje izmjena Zakona o radu, što su Vlade i prihvatile u pismu namjere upućenom ovoj finansijskoj instituciji krajem prošle godine. Ipak, zbog protivljenja sindikata Izmjene zakona o radu u oba entiteta nisu usvojene."
24,24.0,Da li svi trebaju imati jednaka prava na zdravstvenu zaštitu koja se mogu ostvariti jednako na teritoriji cijele države?,Zdravstvena zaštita,"Zdravstveni sistem u FBiH regulisan je na kantonalnom nivou što podrazumijeva da korisnici zdravstvene zaštite sva prava mogu ostvariti samo na području kantona u kojem žive, dok liječenje u drugom kantonu zahtjeva mnoge procedure. Također, zbog necentralizovanog sistema zdravstvene zaštite teško je ostvariti i pravo liječenja građana u drugom entitetu."
25,25.0,Da li izborne liste partija/stranki treba zatvoriti?,Zatvaranje izbornih lista partija,"Kada se u PSBiH raspravljalo o izmjenama Izbornog zakona pojedini zastupnici političkih partija su predlagali da se izborne liste zatvore. U tom slučaju mandate zastupnicima u zakonodavna tijela na nivou države, entiteta i kantona bi dijelila sama stranka."
26,26.0,Da li diskreciona sredstva iz budžetskih rezervi zvaničnici trebaju dijeliti bez jasno uspostavljenih kriterija i otvorenog i transparentnog procesa izbora korisnika?,Diskreciona sredstva,"Tokom aktuelnog mandata gotovo sve Vlade u BiH su dijelile ""diskreciona sredstva"" bez raspisanih tenderskih poziva i jasno definisanih kriterija raspodjele ovih sredstava."
27,27.0,Da li ste za uvođenje diferencirane stope PDV-a?,Diferencirana stopa PDV-a,"Prije Izbora 2010. godine, gotovo sve političke partije koje su osvojile mandate, obećale su da će razmotriti uvođenje više stopa PDV-a gdje bi se porez smanjio na osnovne životne namirnice, lijekove i udžbenike, dok bi se povećao na luksuzne proizvode. Ipak tokom proteklog mandata nisu zabilježene aktivnosti na uvođenju više stopa PDV-a."
28,28.0,Da li treba oduzeti svu imovinu čije zakonito porijeklo ne može biti dokazano?,Nelegalno stečena imovina,Tokom cijelog proteklog mandata u FBiH je bilo aktuelno pitanje usvajanja Zakona o oduzimanju nelegalno stečene imovine koji je konačno usvojen sredinom 2014. godine i nakon brojnih protivljenja pojedinih političkih partija u ovom entitetu.
29,29.0,Da li Parlament BiH treba biti jedino tijelo koje odlučuje o sukobu interesa?,Sukob interesa,Novim izmjenama i dopunama Zakona o sukobu interesa u institucijama BiH se ukida ovlaštenje Centralne izborne komisije da sprovodi institut sukoba interesa. Umjesto nje to će činiti Komisija PSBiH sastavljena od političara te direktor i zamjenici direktora Agencije za prevenciju korupcije i koordinaciju borbe protiv korupcije BiH.
30,30.0,"Da li je opravdano dodjeljivanje ugovora o istraživanju ili eksploataciji prirodnih resursa poput uglja i nafte, bez javnih tenderskih procedura?",Ugovori o eksploataciji prirodnih resursa,"Tokom proteklog mandata u BiH je bilo veoma aktuelno pitanje istraživanje nalazišta nafte i uglja, gdje su entitetske Vlade ugovore o istraživanju, ali i koncesije za eksploataciju nafte potpisivale sa velikim svjetskim kompanijama bez raspisivanja javnih poziva i tendera."
31,31.0,Smanjenje troškova administracije mora biti prioritet procesa reforme javne uprave?,Smanjenje administracije,BiH je zemlja koja ima najveći broj zaposlenih u administraciji u odnosu na ukupan broj zaposlenih u Evropi. Već godinama se ukazuje na velike troškove javne administracije u BiH te se predlaže njeno smanjenje.
32,32.0,"Da li EU integracije moraju biti bezuslovni prioritet, čak i u slučaju da to smanjuje uticaj predstavnika konstitutivnih naroda ili pojedinih nivoa vlasti?",EU integracije,"EU integracije za većinu građana i građanki, kao i političkih partija, predstavljaju najvažniji cilj. Međutim, iz razloga praktične i kontekstualne prirode EU put BiH će vrlo vjerovatno značiti i smanjenje uticaja predstavnika pojedinih nivoa vlasti ili uticaj etno-politike na društvene tokove."
