id,name,abbreviation,name:en,result,result:number
20223,Volkspartij voor Vrijheid en Democratie,VVD,People's Party for Freedom and Democracy,26.58,2504948
20221,Partij van de Arbeid,PvdA,Labour Party,24.84,2340750
20224,Groep Wilders / Partij voor de Vrijheid,PVV,Party for Freedom,10.08,950263
20220,Christen-Democratisch Appel,CDA,Christian Democratic Appeal,8.51,801620
20222,Socialistische Partij,SP,Socialist Party,9.65,909853
20227,Democraten 66,D66,Democrats 66,8.03,757091
20225,GroenLinks,GroenLinks,GreenLeft,2.33,219896
20226,ChristenUnie,ChristenUnie,ChristianUnion,3.13,294586
20229,Staatkundig Gereformeerde Partij,SGP,Reformed Political Party,2.09,196780
20228,Partij voor de Dieren,Partij voor de Dieren,Party for the Animals,1.93,182162
20305,Piratenpartij,Piratenpartij,Pirate Party,0.32,30600
20232,Partij voor Mens en Spirit,Partij voor Mens en Spirit,Party for People and Spirit,0.19,18310
20306,Nederland Lokaal,Nederland Lokaal,Local Netherlands,0.03,2842
20332,Libertarische Partij,Libertarische Partij,Libertatian Party,0.04,4163
20315,Democratisch Politiek Keerpunt,Democratisch Politiek Keerpunt,Democratic political turning point,0.08,7363
20233,50Plus,50Plus,50Plus,1.88,177631
20314,Liberaal Democratische Partij,Liberaal Democratische Partij,Liberal Democratic Party,0.02,2126
20319,Soeverein Onafhankelijke Pioniers Nederland,SOPN,"
Sovereign Independent Pioneers Netherlands",0.14,12982
20390,Partij van de Toekomst,Partij van de Toekomst,Party of the Future,0.09,8194
20391,Anti Europa Partij,Anti Europa Partij,Anti Europe Party,0.02,2013
