id,name,abbreviation,votes
23,Sloboda a Solidarita,SaS,yes
6,SME RODINA - Boris Kollár,SME RODINA,yes
1,Strana TIP,TIP,yes
7,Strana zelených Slovenska,SZS,yes
5,ŠANCA,ŠANCA,yes
12,Slovenská národná strana,SNS,yes
22,PRIAMA DEMOKRACIA,PD,yes
2,Strana moderného Slovenska (SMS),SMS,yes
16,SMER - sociálna demokracia,SMER-SD,yes
11,MOST - HÍD,MOST - HÍD,yes
4,Demokrati Slovenska - Ľudo Kaník,DS,yes
18,Slovenská občianska koalícia,SKOK!,yes
3,OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO - NOVA),OĽANO - NOVA,yes
15,Slovenská demokratická a kresťanská únia - Demokratická strana,SDKÚ-DS,yes
13,Odvaha - Veľká národná a proruská koalícia,Odvaha,yes
21,Strana maďarskej komunity - Magyar Közösség Pártja,SMK-MKP,yes
19,Kotleba - Ľudová strana Naše Slovensko,ĽS NS,yes
10,VZDOR - strana práce,VZDOR,yes
17,Kresťanskodemokratické hnutie,KDH,yes
14,Komunistická strana Slovenska,KSS,yes
20,#SIEŤ,#SIEŤ,yes
8,KOALÍCIA SPOLOČNE ZA SLOVENSKO,SPOLOČNE,yes
9,MKDA-MKDSZ,MKDA-MKDSZ,no
